Deze gegevens mogen vrij worden gebruikt mits de volgende bronvermelding wordt gegeven:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

These data can be used freely provided that the following source is acknowledged:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

MAAND- en JAARGEMIDDELDE TEMPERATUREN (0.1 graden Celsius)
MONTHLY AND YEARLY MEAN TEMPERATURES (0.1 degrees Celsius)

STN = stationsnummer / WMO-number = 06... (235=De Kooy,240=Schiphol,260=De Bilt,270=Leeuwarden,280=Eelde,
      290=Twenthe,310=Vlissingen,344=Rotterdam,370=Eindhoven,380=Maastricht)


STN,YYYY,   JAN,   FEB,   MAR,   APR,   MAY,   JUN,   JUL,   AUG,   SEP,   OCT,   NOV,   DEC,  YEAR
260,2001,    26,    45,    49,    83,   141,   152,   185,   185,   134,   142,    71,    29,   104
260,2002,    44,    71,    72,    93,   134,   165,   176,   186,   146,    95,    79,    29,   108
260,2003,    25,    18,    73,    99,   132,   178,   188,   193,   139,    75,    80,    40,   103
260,2004,    36,    48,    59,   104,   123,   155,   167,   188,   152,   113,    63,    32,   103
260,2005,    53,    24,    65,   104,   126,   168,   177,   162,   157,   133,    69,    40,   107
260,2006,    15,    29,    39,    90,   145,   167,   223,   164,   179,   136,    92,    65,   112
260,2007,    71,    60,    80,   131,   141,   175,   170,   171,   138,   101,    69,    38,   112
260,2008,    65,    51,    59,    89,   157,   165,   181,   174,   136,   101,    69,    24,   106
260,2009,     8,    33,    63,   122,   139,   156,   181,   185,   150,   107,    95,    22,   105
260,2010,    -5,    16,    64,    97,   105,   164,   199,   168,   136,   104,    58,   -11,    91
260,2011,    35,    46,    60,   131,   140,   161,   159,   169,   156,   114,    72,    65,   109
260,2012,    49,     8,    83,    84,   145,   149,   173,   185,   142,   105,    68,    50,   103
260,2013,    20,    17,    25,    81,   115,   153,   192,   181,   144,   122,    67,    59,    98
260,2014,    57,    65,    84,   121,   132,   162,   198,   161,   159,   134,    82,    48,   117
260,2015,    40,    35,    62,    90,   124,   156,   184,   185,   134,    99,    99,    96,   109
260,2016,    48,    46,    54,    87,   145,   168,   184,   179,   173,    99,    54,    47,   107
260,2017,    16,    51,    86,    86,   150,   180,   179,   172,   137,   133,    73,    49,   109
260,2018,    56,     7,    47,   122,   164,   175,   207,   185,   147,   119,    68,    61,   113
260,2019,    35,    61,    80,   109,   117,   181,   188,   184,   145,   116,    64,    58,   112
260,2020,    62,    72,    68,   111,   131,   175,   170,   204,   152,   113,    89,    55,   117
260,2021,    34,    43,    64,    67,   112,   182,   180,   169,   159,   116,    74,    54,   105
260,2022,    53,    68,    73,    93,   140,   171,   186,   200,   146,   131,    86,    39,   116
260,2023,    58,    57,    70,    87,   135,   194,   181,   176,   175,   132,    78,      ,      
